depth_km,x1_km,T1_C,x2_km,T2_C,dT_C
25.0,1965.0,338.71000000000004,1965.0,159.16000000000003,-179.55
50.0,2033.0,731.85,2032.0,378.81000000000006,-353.03999999999996
75.0,2102.0,1059.35,2099.0,698.28,-361.06999999999994
