depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,265.8,1951.0,123.53,-142.27,5.0,-28.456441435
50.0,1976.0,487.47,1978.0,244.48,-242.99,5.0,-48.602169847
75.0,1996.0,783.45,1999.0,351.89,-431.56,5.0,-86.319405816
