depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,267.44,1953.0,107.75,-159.69,5.0,-31.93853432
50.0,1984.0,521.42,1989.0,246.1,-275.32,5.0,-55.064921215
75.0,2016.0,899.85,2020.0,387.84,-512.01,5.0,-102.403713175
