depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1951.0,400.73,1952.0,187.91,-212.82,5.001,-42.555040721
50.0,1993.0,829.75,1992.0,419.37,-410.38,5.001,-82.058723856
75.0,2036.0,1129.55,2034.0,771.95,-357.6,5.001,-71.504945784
