depth_km,x1_km,T1_C,x2_km,T2_C,dT_C
25.0,1950.0,242.06000000000006,1952.0,132.77000000000004,-109.29000000000002
50.0,1990.0,517.34,1995.0,285.23,-232.11
75.0,2031.0,890.85,2032.0,419.02,-471.83000000000004
