depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1955.0,383.59,1959.0,147.37,-236.22,5.0,-47.241531987
50.0,2011.0,779.75,2019.0,398.32,-381.43,5.0,-76.282014841
75.0,2063.0,1023.05,,,,5.0,
