depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,292.64,1950.0,129.19,-163.45,4.999,-32.693776493
50.0,1975.0,552.1,1976.0,268.06,-284.04,4.999,-56.81456271
75.0,1993.0,845.85,1995.0,401.75,-444.1,4.999,-88.830260877
