depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,315.17,1951.0,155.87,-159.3,4.999,-31.866291542
50.0,1977.0,581.48,1981.0,311.81,-269.67,4.999,-53.944650597
75.0,2002.0,907.85,2005.0,446.08,-461.77,4.999,-92.372237572
