depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,346.44,1951.0,186.72,-159.72,5.0,-31.943903463
50.0,1976.0,503.8,1980.0,299.91,-203.89,5.0,-40.777876766
75.0,1998.0,783.65,2010.0,391.47,-392.18,5.0,-78.435762962
