depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,414.68,1950.0,248.93,-165.75,4.998,-33.163822722
50.0,1974.0,759.15,1976.0,517.64,-241.51,4.998,-48.322140727
75.0,1989.0,1025.65,1992.0,754.75,-270.9,4.998,-54.202591706
