depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,275.52,1952.0,113.77,-161.75,5.0,-32.347496044
50.0,1983.0,568.97,1984.0,245.81,-323.16,5.0,-64.626997351
75.0,2010.0,889.75,2012.0,438.35,-451.4,5.0,-90.273012144
