depth_km,x1_km,T1_C,x2_km,T2_C,dT_C
25.0,1951.0,225.78000000000003,1956.0,89.36000000000001,-136.42000000000002
50.0,1980.0,451.01,1986.0,197.23000000000002,-253.77999999999997
75.0,2007.0,729.65,2013.0,384.68000000000006,-344.9699999999999
