run_id,T1_C,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
060,484.4,217.69,-266.71,4.999,-53.347352925
061,701.86,348.17,-353.69,5.0,-70.74028306
062,544.33,258.56,-285.77,5.0,-57.158725811
063,607.9,283.01,-324.89,5.0,-64.97699747
064,912.85,530.55,-382.3,4.999,-76.476611652
065,423.74,234.53,-189.21,4.999,-37.847018402
066,644.82,340.48,-304.34,5.001,-60.857663562
067,805.85,481.13,-324.72,5.001,-64.937246009
068,431.55,243.26,-188.29,5.0,-37.661405872
069,618.56,315.42,-303.14,5.0,-60.631682245
070,476.4,237.43,-238.97,5.0,-47.790434689
071,820.25,467.6,-352.65,5.0,-70.530050351
072,620.1,321.4,-298.7,5.001,-59.724988085
073,548.6,268.23,-280.37,5.0,-56.075253344
074,609.17,296.91,-312.26,5.0,-62.447211897
075,713.44,395.86,-317.58,5.0,-63.51633247
076,595.36,350.29,-245.07,5.001,-49.007202987
077,584.78,279.0,-305.78,5.0,-61.155970187
078,791.85,383.66,-408.19,5.0,-81.642490474
079,694.0,419.12,-274.88,5.001,-54.970145742
080,796.25,539.06,-257.19,5.001,-51.430948558
081,822.25,392.49,-429.76,5.0,-85.95398295
082,673.33,369.73,-303.6,5.001,-60.710277014
083,688.34,322.37,-365.97,5.001,-73.181615456
084,628.25,349.69,-278.56,5.002,-55.687436631
085,NaN,NaN,NaN,NaN,NaN
086,661.31,327.16,-334.15,5.001,-66.81635077
087,547.11,268.32,-278.79,4.999,-55.764598901
088,733.65,442.44,-291.21,5.0,-58.236924243
089,598.62,300.67,-297.95,5.0,-59.593875863
090,694.38,354.42,-339.96,5.0,-67.991174087
091,576.2,289.26,-286.94,5.0,-57.384735302
092,673.37,316.54,-356.83,4.999,-71.375081858
093,509.81,238.52,-271.29,4.999,-54.267208212
094,609.18,351.42,-257.76,5.0,-51.552475585
095,557.81,258.34,-299.47,5.0,-59.899391443
096,NaN,NaN,NaN,NaN,NaN
097,805.15,599.54,-205.61,5.0,-41.12229421
098,513.76,226.0,-287.76,5.0,-57.549580485
099,845.85,479.35,-366.5,4.999,-73.316349752
100,580.27,313.91,-266.36,5.001,-53.264828665
101,570.59,326.62,-243.97,5.0,-48.792198821
102,706.98,339.81,-367.17,5.0,-73.432439474
103,666.48,320.1,-346.38,5.0,-69.274772352
104,776.35,496.12,-280.23,5.002,-56.022936592
105,633.14,338.13,-295.01,5.0,-59.004270326
106,718.07,327.75,-390.32,5.0,-78.057460886
107,647.61,297.73,-349.88,5.0,-69.976378512
108,687.43,305.93,-381.5,5.0,-76.303748177
109,556.17,249.53,-306.64,5.0,-61.330108451
110,637.12,325.09,-312.03,5.002,-62.385811714
111,528.06,276.0,-252.06,5.0,-50.412311996
112,694.84,556.58,-138.26,5.007,-27.612692687
113,660.67,340.4,-320.27,5.001,-64.034824589
114,702.25,446.73,-255.52,5.0,-51.106259324
115,754.25,544.89,-209.36,4.999,-41.878775498
116,436.41,268.09,-168.32,4.999,-33.668821854
117,844.95,457.37,-387.58,5.001,-77.49843222
118,662.82,354.84,-307.98,5.001,-61.586578388
119,553.94,264.8,-289.14,5.0,-57.827431731
120,585.39,281.81,-303.58,5.0,-60.710266924
121,666.43,326.84,-339.59,5.0,-67.918577687
122,754.35,399.07,-355.28,5.0,-71.059524959
123,570.33,247.55,-322.78,5.0,-64.550351619
124,676.07,307.35,-368.72,5.0,-73.743630994
125,813.55,570.6,-242.95,5.0,-48.591215351
126,517.83,274.09,-243.74,5.0,-48.749012475
127,644.08,328.31,-315.77,5.0,-63.159034323
128,609.31,283.98,-325.33,5.002,-65.04622823
129,814.65,631.51,-183.14,5.002,-36.613564076
130,960.55,556.54,-404.01,5.003,-80.759967773
131,619.41,290.58,-328.83,4.999,-65.774636724
132,689.46,437.57,-251.89,5.001,-50.372844886
133,610.51,268.31,-342.2,5.001,-68.433074117
134,655.99,324.84,-331.15,5.0,-66.229891679
135,751.55,579.67,-171.88,5.0,-34.378722773
136,660.41,345.6,-314.81,5.0,-62.963268398
137,613.05,294.42,-318.63,5.0,-63.725608569
138,563.55,286.23,-277.32,5.001,-55.458276946
139,538.16,270.84,-267.32,5.001,-53.454595165
140,678.88,364.43,-314.45,5.0,-62.89532441
141,NaN,NaN,NaN,NaN,NaN
142,962.75,698.71,-264.04,4.997,-52.835189294
143,758.15,387.04,-371.11,5.0,-74.222194887
144,691.39,412.28,-279.11,4.997,-55.850221131
145,675.74,430.26,-245.48,4.999,-49.105202778
146,638.7,332.84,-305.86,5.0,-61.176446012
147,638.36,337.92,-300.44,5.0,-60.092100331
148,613.58,332.75,-280.83,4.999,-56.175426206
149,713.58,339.22,-374.36,5.0,-74.873753633
150,741.15,345.02,-396.13,5.001,-79.216139393
151,824.35,445.13,-379.22,4.999,-75.853358318
152,863.55,635.64,-227.91,4.999,-45.589982275
153,750.45,484.94,-265.51,4.998,-53.119705194
154,487.69,230.98,-256.71,5.001,-51.335528533
155,992.65,662.36,-330.29,5.0,-66.055548999
156,623.7,292.68,-331.02,5.0,-66.205681113
157,747.85,503.34,-244.51,5.0,-48.90278885
158,868.55,503.37,-365.18,5.0,-73.039956171
159,608.92,283.28,-325.64,5.0,-65.126251006
160,761.05,402.66,-358.39,5.0,-71.680235715
161,588.0,304.16,-283.84,5.001,-56.75708398
162,490.78,243.94,-246.84,5.001,-49.359971399
163,738.75,378.94,-359.81,5.001,-71.942568508
164,681.11,371.17,-309.94,4.999,-62.003697895
165,599.39,334.24,-265.15,5.001,-53.021300588
166,959.35,576.63,-382.72,5.0,-76.54081754
167,444.12,236.76,-207.36,4.999,-41.478751471
168,821.15,383.97,-437.18,5.001,-87.421747301
169,678.99,379.88,-299.11,5.0,-59.82286982
170,488.36,230.58,-257.78,5.0,-51.556019446
171,959.55,605.5,-354.05,4.999,-70.823392271
172,721.7,383.59,-338.11,5.001,-67.613120421
173,499.88,232.28,-267.6,4.999,-53.5255113
174,540.91,284.47,-256.44,5.0,-51.286872454
175,737.85,468.11,-269.74,4.998,-53.96882217
176,503.58,234.08,-269.5,5.0,-53.895522315
177,858.05,653.0,-205.05,4.998,-41.023687084
178,619.04,295.59,-323.45,4.999,-64.70352286
179,790.85,358.33,-432.52,5.0,-86.506395769
180,997.25,600.27,-396.98,5.0,-79.394439171
181,549.8,241.46,-308.34,5.001,-61.659500627
182,641.1,294.41,-346.69,5.0,-69.334197614
183,554.46,282.37,-272.09,5.0,-54.4172663
184,899.55,606.82,-292.73,4.999,-58.556554503
185,580.56,266.57,-313.99,5.0,-62.795297999
186,550.89,290.12,-260.77,5.0,-52.149773795
187,642.89,331.7,-311.19,4.999,-62.245213102
188,915.45,464.2,-451.25,4.999,-90.2611956
189,741.95,550.19,-191.76,4.999,-38.357865143
190,819.25,446.58,-372.67,4.999,-74.542224821
191,670.33,347.45,-322.88,5.001,-64.560351683
192,897.85,499.25,-398.6,4.998,-79.750918285
193,672.8,495.62,-177.18,5.001,-35.431921445
194,649.21,367.87,-281.34,5.001,-56.255489724
195,587.47,265.03,-322.44,5.0,-64.489116951
196,669.87,296.99,-372.88,5.0,-74.580706929
197,754.05,462.78,-291.27,5.0,-58.255428447
198,597.58,303.27,-294.31,5.0,-58.857870894
199,443.72,223.17,-220.55,5.0,-44.111043326
200,634.53,362.96,-271.57,4.999,-54.323311078
201,722.61,372.06,-350.55,5.0,-70.106773265
202,641.66,366.0,-275.66,5.0,-55.137349996
203,686.65,394.43,-292.22,5.0,-58.44716419
204,670.18,331.96,-338.22,5.0,-67.63850816
205,842.25,537.68,-304.57,4.999,-60.923170415
206,722.61,344.71,-377.9,5.0,-75.577222427
207,587.03,284.53,-302.5,4.999,-60.513884883
208,660.22,365.24,-294.98,5.001,-58.982535453
209,807.35,419.39,-387.96,4.999,-77.601301375
210,1014.85,666.53,-348.32,4.999,-69.673703514
211,646.02,472.02,-174.0,5.0,-34.800165975
212,768.55,410.77,-357.78,5.0,-71.551999764
213,NaN,NaN,NaN,NaN,NaN
214,692.47,295.57,-396.9,5.0,-79.376620179
215,534.17,268.15,-266.02,5.0,-53.204252631
216,743.25,565.03,-178.22,5.002,-35.627519081
217,732.05,541.39,-190.66,5.001,-38.124032281
218,750.95,322.6,-428.35,5.001,-85.658231493
219,848.35,499.29,-349.06,5.0,-69.810030401
220,783.35,377.22,-406.13,5.0,-81.222221
221,398.82,199.43,-199.39,5.0,-39.876894167
222,789.75,510.79,-278.96,4.998,-55.808972207
223,767.45,396.75,-370.7,5.0,-74.145108904
224,622.42,294.9,-327.52,5.001,-65.496706828
225,689.85,305.26,-384.59,4.999,-76.934308498
226,627.17,322.86,-304.31,4.999,-60.876177075
227,796.35,371.77,-424.58,5.0,-84.921962602
228,633.49,327.49,-306.0,5.0,-61.195140724
229,1041.95,773.85,-268.1,5.0,-53.616780204
230,732.85,558.63,-174.22,5.002,-34.828190126
231,916.25,453.87,-462.38,5.0,-92.474395169
232,548.48,235.52,-312.96,5.0,-62.595383974
233,791.35,469.79,-321.56,5.0,-64.308370471
234,738.65,464.53,-274.12,5.0,-54.82424195
235,724.18,371.58,-352.6,4.999,-70.529070736
236,601.42,309.27,-292.15,5.001,-58.413184707
237,612.78,325.88,-286.9,5.0,-57.37662627
238,521.03,258.88,-262.15,4.999,-52.436643243
239,710.41,392.43,-317.98,4.999,-63.602465268
240,698.03,376.81,-321.22,5.0,-64.24109558
241,467.4,268.3,-199.1,5.0,-39.817887676
242,741.75,466.19,-275.56,5.003,-55.081473199
243,735.45,418.79,-316.66,5.0,-63.326622543
244,664.1,382.82,-281.28,5.0,-56.256301328
245,691.39,439.79,-251.6,4.999,-50.330000507
246,698.88,474.99,-223.89,5.0,-44.778527339
247,547.34,276.2,-271.14,5.001,-54.220781094
248,653.55,365.41,-288.14,5.0,-57.633566744
249,788.15,878.95,90.8,5.0,18.159101914
250,502.12,254.88,-247.24,5.0,-49.450012758
251,743.45,381.3,-362.15,4.999,-72.446650996
252,595.91,312.58,-283.33,5.0,-56.671544119
253,796.85,369.76,-427.09,5.001,-85.403869223
254,582.41,289.23,-293.18,5.0,-58.638274609
255,515.21,272.78,-242.43,5.0,-48.484236563
256,791.35,477.52,-313.83,4.999,-62.77295383
257,625.28,279.02,-346.26,5.001,-69.236322507
258,783.95,566.37,-217.58,5.0,-43.516221531
259,801.65,526.36,-275.29,5.0,-55.05268237
260,NaN,NaN,NaN,NaN,NaN
261,572.71,254.37,-318.34,5.0,-63.664217056
262,714.31,378.17,-336.14,5.0,-67.224995978
263,719.28,356.19,-363.09,4.999,-72.630565088
264,830.95,476.29,-354.66,5.0,-70.938155236
265,557.29,321.25,-236.04,5.0,-47.204123847
266,670.17,293.55,-376.62,5.001,-75.311881995
267,891.35,519.36,-371.99,4.999,-74.406391573
268,477.9,246.99,-230.91,5.0,-46.18523361
269,630.65,303.27,-327.38,4.999,-65.486499847
270,607.51,328.04,-279.47,4.998,-55.916094523
271,867.95,889.95,22.0,5.0,4.40019944
272,499.27,239.46,-259.81,4.999,-51.967385365
273,922.35,870.35,-52.0,5.0,-10.399096266
274,869.15,650.44,-218.71,5.004,-43.706476454
275,656.95,448.1,-208.85,5.001,-41.76494847
276,720.91,496.98,-223.93,5.0,-44.786301635
277,715.6,361.88,-353.72,5.001,-70.724456105
278,590.4,292.66,-297.74,5.0,-59.547672293
279,534.06,261.67,-272.39,5.0,-54.478748711
280,580.9,327.7,-253.2,5.0,-50.636182673
281,823.95,615.2,-208.75,5.0,-41.748240838
282,732.15,411.7,-320.45,5.001,-64.078797126
283,693.84,515.05,-178.79,5.002,-35.746517417
284,654.3,333.81,-320.49,4.999,-64.105752049
285,789.65,516.13,-273.52,5.001,-54.696017711
286,629.41,318.28,-311.13,5.0,-62.224583354
287,698.55,424.4,-274.15,5.0,-54.824949555
288,682.74,377.78,-304.96,5.0,-60.994267905
289,674.45,321.59,-352.86,5.001,-70.562567838
290,499.11,271.84,-227.27,5.0,-45.451477803
291,471.47,245.9,-225.57,5.0,-45.114590219
292,509.45,245.76,-263.69,5.0,-52.73851399
293,528.83,290.08,-238.75,5.0,-47.75301681
294,610.04,301.58,-308.46,4.999,-61.706707197
295,669.31,311.61,-357.7,4.999,-71.551495269
296,692.44,473.21,-219.23,4.997,-43.871122794
297,710.56,380.39,-330.17,5.001,-66.025349319
298,601.37,275.18,-326.19,5.001,-65.230340648
299,857.15,400.34,-456.81,5.001,-91.350483154
300,719.39,353.28,-366.11,5.0,-73.215407169
301,612.56,305.07,-307.49,5.0,-61.495765619
302,826.25,472.6,-353.65,5.001,-70.716216938
303,479.66,222.61,-257.05,5.0,-51.414783987
304,667.65,339.69,-327.96,5.002,-65.566501622
305,858.75,477.36,-381.39,4.999,-76.29060715
306,625.87,309.34,-316.53,5.0,-63.307960304
307,631.04,331.99,-299.05,4.999,-59.822270808
308,619.26,347.11,-272.15,5.001,-54.41889164
309,636.79,338.37,-298.42,4.999,-59.690308932
310,786.35,537.76,-248.59,4.999,-49.730329923
311,430.24,200.35,-229.89,5.0,-45.976693539
312,598.35,295.41,-302.94,5.0,-60.582861763
313,782.55,387.37,-395.18,4.999,-79.045751174
314,726.95,433.63,-293.32,4.998,-58.689925061
315,748.75,476.46,-272.29,4.999,-54.464909967
316,480.46,237.55,-242.91,5.0,-48.580103347
317,737.65,397.2,-340.45,4.999,-68.098928356
318,839.55,399.07,-440.48,5.0,-88.096456488
319,632.69,308.11,-324.58,5.0,-64.914478359
320,708.42,379.15,-329.27,5.0,-65.858927777
321,608.89,261.76,-347.13,4.999,-69.435838238
322,939.85,475.79,-464.06,4.999,-92.829691628
323,556.19,221.28,-334.91,5.0,-66.982573425
324,747.75,373.58,-374.17,4.999,-74.849857029
325,667.04,368.54,-298.5,5.001,-59.689700687
326,673.62,296.78,-376.84,5.0,-75.367837671
327,830.35,470.77,-359.58,5.0,-71.914169071
328,554.37,228.11,-326.26,5.0,-65.250162628
329,638.53,305.41,-333.12,4.999,-66.634660577
330,651.0,449.46,-201.54,5.0,-40.311979687
331,750.25,450.43,-299.82,5.0,-59.962391523
332,691.83,340.09,-351.74,4.999,-70.361994408
333,922.05,573.23,-348.82,5.001,-69.752244209
334,861.25,515.73,-345.52,5.001,-69.09534219
335,519.71,253.15,-266.56,5.0,-53.310019081
336,588.76,389.06,-199.7,5.0,-39.942205113
337,887.35,442.65,-444.7,5.0,-88.94212231
338,606.57,290.23,-316.34,4.999,-63.27481361
339,551.51,288.59,-262.92,5.0,-52.58528406
340,522.37,253.04,-269.33,5.0,-53.86702759
341,594.89,252.08,-342.81,5.0,-68.566204401
342,640.19,337.02,-303.17,5.001,-60.61721744
343,1047.65,580.52,-467.13,5.001,-93.414938174
344,572.32,290.82,-281.5,4.999,-56.308421964
345,670.2,424.44,-245.76,5.001,-49.143892518
346,612.27,314.85,-297.42,5.0,-59.484944761
347,559.57,307.7,-251.87,5.0,-50.376553929
348,754.95,438.68,-316.27,4.999,-63.262045146
349,625.27,382.53,-242.74,5.0,-48.55017044
350,655.56,430.48,-225.08,4.999,-45.022201152
351,658.58,510.47,-148.11,4.996,-29.644011129
352,561.4,300.75,-260.65,5.001,-52.121747253
353,432.44,212.69,-219.75,5.0,-43.945929624
354,623.44,298.36,-325.08,5.001,-65.007166629
355,NaN,NaN,NaN,NaN,NaN
356,496.71,275.47,-221.24,5.0,-44.25063156
357,688.22,370.25,-317.97,5.0,-63.591889598
358,620.35,311.75,-308.6,5.0,-61.719328135
359,618.94,358.48,-260.46,4.999,-52.100706966
360,646.78,289.49,-357.29,5.001,-71.44925934
361,697.67,332.52,-365.15,5.0,-73.029402103
362,725.37,359.8,-365.57,5.001,-73.098064591
363,649.21,301.13,-348.08,5.0,-69.620610734
364,701.7,323.07,-378.63,5.001,-75.708628171
365,818.65,391.69,-426.96,5.0,-85.39190398
366,591.7,299.05,-292.65,4.999,-58.537774323
367,795.75,539.59,-256.16,5.0,-51.235010377
368,643.52,348.88,-294.64,5.001,-58.917505178
369,883.05,539.6,-343.45,5.001,-68.678676784
370,686.79,360.72,-326.07,5.0,-65.207942845
371,NaN,NaN,NaN,NaN,NaN
372,628.13,368.94,-259.19,5.001,-51.82312723
373,640.21,347.88,-292.33,5.0,-58.470950215
374,713.0,384.47,-328.53,5.0,-65.701766479
375,522.67,298.74,-223.93,5.0,-44.785644729
376,757.75,352.92,-404.83,5.0,-80.972636488
377,778.45,447.41,-331.04,4.999,-66.21601202
378,681.39,368.21,-313.18,5.001,-62.623325107
379,569.36,296.7,-272.66,5.0,-54.531406926
380,668.91,365.72,-303.19,5.002,-60.609065036
381,619.4,397.84,-221.56,5.0,-44.315880975
382,684.86,435.57,-249.29,5.0,-49.855251183
383,653.54,342.5,-311.04,5.0,-62.209800563
384,461.91,248.33,-213.58,4.999,-42.720760771
385,470.47,238.25,-232.22,5.0,-46.440612571
386,560.9,271.87,-289.03,5.0,-57.804825537
387,739.25,388.68,-350.57,4.999,-70.133406158
388,754.35,616.84,-137.51,4.999,-27.510028882
389,899.95,944.55,44.6,5.0,8.92060819
390,677.86,318.77,-359.09,5.001,-71.810522912
391,567.03,269.14,-297.89,5.0,-59.576283105
392,661.62,306.41,-355.21,5.0,-71.035618488
393,609.07,325.47,-283.6,4.999,-56.72837054
394,709.03,414.85,-294.18,5.001,-58.828698922
395,906.75,849.05,-57.7,5.0,-11.540280735
396,838.65,426.49,-412.16,5.001,-82.419606923
397,779.85,430.54,-349.31,5.0,-69.865930944
398,525.98,267.01,-258.97,5.001,-51.788258028
399,513.38,246.24,-267.14,5.0,-53.425514104
