depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1958.0,377.32,1959.0,214.27,-163.05,4.999,-32.614236649
50.0,2014.0,734.65,2015.0,531.85,-202.8,4.999,-40.565269503
75.0,2072.0,1023.35,2073.0,864.05,-159.3,4.999,-31.86413921
