depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1951.0,246.25,1954.0,94.4,-151.85,5.0,-30.368147239
50.0,1982.0,458.8,1988.0,214.34,-244.46,5.0,-48.889017281
75.0,2012.0,810.45,2016.0,345.08,-465.37,5.0,-93.068321902
