depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,349.69,1952.0,193.59,-156.1,4.999,-31.226753466
50.0,1975.0,676.59,1980.0,424.44,-252.15,4.999,-50.440908945
75.0,1992.0,961.15,1998.0,645.83,-315.32,4.999,-63.077641914
