depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,268.44,1956.0,112.79,-155.65,5.001,-31.125712083
50.0,1977.0,515.32,1990.0,277.75,-237.57,5.001,-47.507455313
75.0,1999.0,753.95,2017.0,374.68,-379.27,5.001,-75.843551697
