depth_km,x1_km,T1_C,x2_km,T2_C,dT_C
25.0,1950.0,216.8,1950.0,103.29000000000002,-113.50999999999999
50.0,1975.0,397.59000000000003,1976.0,214.15000000000003,-183.44
75.0,1994.0,633.59,1995.0,335.40999999999997,-298.18000000000006
