depth_km,x1_km,T1_C,x2_km,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
25.0,1950.0,370.99,1950.0,217.16,-153.83,4.997,-30.782392912
50.0,1974.0,700.71,1975.0,440.77,-259.94,4.997,-52.015700536
75.0,1993.0,1002.05,1993.0,705.02,-297.03,4.997,-59.437653036
