depth_km,x1_km,T1_C,x2_km,T2_C,dT_C
25.0,1951.0,194.90000000000003,1959.0,81.82000000000005,-113.07999999999998
50.0,1981.0,405.97,1995.0,219.11,-186.86
75.0,2006.0,609.6700000000001,2021.0,313.55000000000007,-296.12
